
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-03-16 16:05:59 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 16:09:01 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 16:09:04 /api/documents/check-code ................................................................ ~ 1s
  2026-03-16 16:09:05 /api/documents/check-code .......................................................... ~ 506.25ms
  2026-03-16 16:09:06 /api/documents/check-code .......................................................... ~ 507.21ms
  2026-03-16 16:09:07 /api/documents/check-code ................................................................ ~ 1s
  2026-03-16 16:09:25 /api/documents/check-code ................................................................ ~ 1s
  2026-03-16 16:09:26 /api/documents/check-code ................................................................ ~ 1s
  2026-03-16 16:09:27 /api/upload .............................................................................. ~ 1s
  2026-03-16 16:10:13 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 16:10:14 /api/system/compression-status ..................................................... ~ 509.94ms
  2026-03-16 16:11:46 /api/auth/login .......................................................................... ~ 1s
  2026-03-16 16:11:48 /api/auth/login .......................................................................... ~ 1s
  2026-03-16 16:11:50 /api/upload .............................................................................. ~ 1s
  2026-03-16 16:11:51 /api/documents/create .................................................................... ~ 1s
  2026-03-16 16:11:53 /api/documents/qr/2reQCZLMiPDc/attach-pdf ................................................ ~ 1s
  2026-03-16 16:12:11 /api/auth/login .......................................................................... ~ 1s
  2026-03-16 16:12:13 /api/documents ........................................................................... ~ 1s
  2026-03-16 16:12:14 /api/documents/20 ........................................................................ ~ 1s
  2026-03-16 16:12:15 /api/documents/19 ........................................................................ ~ 1s
  2026-03-16 16:13:57 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 16:15:13 /api/system/compression-status ..................................................... ~ 514.06ms
  2026-03-16 16:15:13 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 16:15:21 /api/documents/17 .................................................................. ~ 508.60ms
  2026-03-16 16:15:22 /api/documents/17 ........................................................................ ~ 1s
  2026-03-16 16:15:23 /api/documents/16 .................................................................. ~ 511.23ms
  2026-03-16 16:15:24 /api/documents/stats ..................................................................... ~ 1s
  2026-03-16 16:15:24 /api/documents/16 ........................................................................ ~ 1s
  2026-03-16 16:15:25 /api/documents/15 ........................................................................ ~ 1s
  2026-03-16 16:15:26 /api/documents/stats ............................................................... ~ 513.10ms
  2026-03-16 16:15:26 /api/documents/15 ........................................................................ ~ 1s
  2026-03-16 16:15:28 /api/documents/14 .................................................................. ~ 502.78ms
  2026-03-16 16:15:28 /api/documents/stats ..................................................................... ~ 1s
  2026-03-16 16:15:28 /api/documents/14 ........................................................................ ~ 2s
  2026-03-16 16:15:30 /api/documents/stats ..................................................................... ~ 1s
  2026-03-16 16:20:13 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 16:20:15 /api/system/compression-status ....................................................... ~ 0.04ms
  2026-03-16 16:25:13 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 16:25:15 /api/system/compression-status ..................................................... ~ 505.56ms
  2026-03-16 16:30:13 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 16:30:14 /api/system/compression-status ..................................................... ~ 502.53ms
  2026-03-16 16:35:30 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 16:35:31 /api/system/compression-status ..................................................... ~ 514.16ms
  2026-03-16 16:40:30 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 16:40:31 /api/system/compression-status ..................................................... ~ 501.57ms
  2026-03-16 16:45:30 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 16:45:31 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 16:50:30 /api/system/compression-status ..................................................... ~ 514.99ms
  2026-03-16 16:50:31 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 16:55:30 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 16:55:31 /api/system/compression-status ..................................................... ~ 503.92ms
  2026-03-16 16:59:40 /api/auth/me ....................................................................... ~ 509.76ms
  2026-03-16 16:59:40 /api/auth/me ....................................................................... ~ 503.57ms
  2026-03-16 16:59:40 /api/documents/stats ..................................................................... ~ 1s
  2026-03-16 16:59:41 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 16:59:41 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 16:59:42 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 16:59:43 /api/documents/stats ..................................................................... ~ 2s
  2026-03-16 16:59:43 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 16:59:44 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 16:59:45 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 16:59:45 /api/auth/login .......................................................................... ~ 1s
  2026-03-16 16:59:46 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 16:59:47 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 16:59:47 /api/auth/login .......................................................................... ~ 2s
  2026-03-16 16:59:48 /api/system/compression-status ........................................................... ~ 2s
  2026-03-16 16:59:49 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 16:59:50 /api/documents/stats ..................................................................... ~ 1s
  2026-03-16 16:59:51 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 16:59:51 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 16:59:53 /api/auth/me ....................................................................... ~ 511.65ms
  2026-03-16 16:59:53 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 16:59:54 /api/auth/me ....................................................................... ~ 502.20ms
  2026-03-16 16:59:55 /api/auth/me ....................................................................... ~ 515.32ms
  2026-03-16 17:00:10 /api/auth/login .................................................................... ~ 506.28ms
  2026-03-16 17:00:11 /api/auth/login .......................................................................... ~ 1s
  2026-03-16 17:00:12 /api/auth/me ....................................................................... ~ 505.62ms
  2026-03-16 17:00:13 /api/documents/stats ............................................................... ~ 503.54ms
  2026-03-16 17:00:13 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:00:13 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:00:14 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:00:14 /api/documents/stats ..................................................................... ~ 2s
  2026-03-16 17:00:15 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:00:16 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:00:19 /api/auth/login .................................................................... ~ 503.55ms
  2026-03-16 17:00:19 /api/auth/login .......................................................................... ~ 1s
  2026-03-16 17:00:21 /api/auth/me ....................................................................... ~ 504.50ms
  2026-03-16 17:00:22 /api/documents/stats ............................................................... ~ 502.80ms
  2026-03-16 17:00:22 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:00:22 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:00:23 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:00:23 /api/documents/stats ..................................................................... ~ 1s
  2026-03-16 17:00:24 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:00:25 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:00:30 /api/system/compression-status ..................................................... ~ 506.91ms
  2026-03-16 17:00:31 /api/system/compression-status ..................................................... ~ 511.55ms

   INFO  Environment modified. Restarting server...  

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

